,sentimen,tweet,tweet_length,clean_tweet,polarity_score,polarity,clean_tweet_sentence
10,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",29,"['pilih', 'pimpin', 'pencapaianya', 'capai', 'ekonomi', 'perintah', 'jokowi', 'coblos', 'yuk', 'kerja']",2,positif,pilih pimpin pencapaianya capai ekonomi perintah jokowi coblos yuk kerja
11,positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",28,"['calon', 'presiden', 'jokowi', 'program', 'kartu', 'pra', 'kerja', 'insentif', 'kurun', 'gaji', 'cumacuma', 'masyarakat', 'hasil']",10,positif,calon presiden jokowi program kartu pra kerja insentif kurun gaji cumacuma masyarakat hasil
12,negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",19,"['tidak', 'nginti', 'yunartowijaya', 'sih', 'atabdilahtoha', 'tidak', 'kaca', 'tidak', 'ajar', 'sandi', 'ekonomi', 'banding', 'jokowi']",-23,negatif,tidak nginti yunartowijaya sih atabdilahtoha tidak kaca tidak ajar sandi ekonomi banding jokowi
13,positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",27,"['jokowi', 'perintah', 'upaya', 'jaga', 'imbang', 'harga', 'posisi', 'normal', 'tani', 'produsen', 'senang', 'hasil', 'kerja', 'harga', 'layak']",-1,negatif,jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak
14,netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",12,"['berat', 'nge', 'bahas', 'ekonomi', 'angka', 'bahas', 'mobil', 'lejen']",10,positif,berat nge bahas ekonomi angka bahas mobil lejen
15,netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",24,"['mantulz', 'isi', 'tenang', 'umroh', 'lurah', 'cinta', 'istri', 'anak', 'ahirnya', 'keluarga', 'aset', 'harga', 'sehat', 'pakde', 'jempol', 'jempol', 'jempol']",20,positif,mantulz isi tenang umroh lurah cinta istri anak ahirnya keluarga aset harga sehat pakde jempol jempol jempol
16,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,35,"['sisi', 'industri', 'kreatif', 'inovatif', 'era', 'industri', 'global', 'jokowi', 'gerak', 'ubah', 'badan', 'ekonomi', 'kreatif', 'bekraf', 'menteri', 'coblos', 'yuk', 'kerja']",22,positif,sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos yuk kerja
17,positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",38,"['pakta', 'integritas', 'prabowo', 'sandi', 'ulama', 'libat', 'ijtimak', 'ulama', 'pancasila', 'nkri', 'harga', 'mati', 'khilafah', 'khilafah', 'bual', 'makhluk', 'kolam']",4,positif,pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati khilafah khilafah bual makhluk kolam
18,netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",24,"['ribu', 'sedih']",-10,negatif,ribu sedih
19,positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,37,"['prabowo', 'tni', 'puluh', 'ambil', 'gaji', 'rupiah', 'sandi', 'wagub', 'susah', 'iya', 'cari', 'orang', 'ambil', 'gaji', 'hasil', 'kerja', 'negara']",-22,negatif,prabowo tni puluh ambil gaji rupiah sandi wagub susah iya cari orang ambil gaji hasil kerja negara
20,netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,46,"['serta', 'balas', 'doa', 'moga', 'alah', 'swt', 'kabul', 'amin', 'iya', 'rab', '']",-14,negatif,serta balas doa moga alah swt kabul amin iya rab 
21,negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",28,"['pilih', 'prabowosandiaga', 'janji', 'tidak', 'ambil', 'gaji', 'orangorang', 'superkaya', 'mbok', 'iya', 'rendah', 'hati', 'konotasi', 'angkuh', '']",-37,negatif,pilih prabowosandiaga janji tidak ambil gaji orangorang superkaya mbok iya rendah hati konotasi angkuh 
22,negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,41,"['prabowo', 'tidak', 'harga', 'rawan', 'puasa', 'tirakat', 'munajad', 'malam', 'suntuk', 'doa', 'menang', 'mohon', 'balas', 'twet', 'kontribusi', 'ngopi', 'rokok', 'dan lain', 'tirakatmujahadah', 'tidak', 'gagal', 'ayo', 'tirakat', 'munajad']",-40,negatif,prabowo tidak harga rawan puasa tirakat munajad malam suntuk doa menang mohon balas twet kontribusi ngopi rokok dan lain tirakatmujahadah tidak gagal ayo tirakat munajad
23,positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,26,"['prabowo', 'sandi', 'menang', 'otomatis', 'sedekah', 'kaum', 'farkir', 'miskin', 'dhuafa', 'gaji', 'berfua', 'ambil', 'sedekah']",-20,negatif,prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua ambil sedekah
24,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,26,"['kepercayan', 'alam', 'jokowi', 'milik', 'wakil', 'alam', 'bidang', 'ekonomi', 'coblos', 'yuk', 'ya', '']",18,positif,kepercayan alam jokowi milik wakil alam bidang ekonomi coblos yuk ya 
25,negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",25,"['umat', 'islam', 'waras', 'cerdas', 'senang', 'beramalcoblos', 'prabowo', 'andil', 'amal', 'gaji', 'beliau', 'tidak', 'ambil', 'amal']",16,positif,umat islam waras cerdas senang beramalcoblos prabowo andil amal gaji beliau tidak ambil amal
26,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",21,"['hasil', 'bidang', 'infrastruktur', 'jokowi', 'hasil', 'baik', 'ekonomi', 'indonesia', 'coblos', 'yuk', 'ya', '']",29,positif,hasil bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk ya 
27,negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",42,"['model', 'kilah', 'truk', 'ketaker', 'busa', 'depan', 'sandi', 'bicara', 'ekonomi', 'makro', 'congkak', 'untung', 'sandi', 'nya', 'sabar', 'tidak', 'kick', 'pantas', 'menteri', 'pintar', 'mbodoni', 'juraganya', 'pek', 'nya', 'sedih', 'marah', '', 'prabowo', 'sandiuno']",-25,negatif,model kilah truk ketaker busa depan sandi bicara ekonomi makro congkak untung sandi nya sabar tidak kick pantas menteri pintar mbodoni juraganya pek nya sedih marah  prabowo sandiuno
28,positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",29,"['pilih', 'bersodakoh', 'prabowo', 'sandi', 'sumbang', 'gaji', 'negarafakir', 'miskin', 'yatim', 'piatu', 'masjid', 'jadi', 'prabowo', 'sandi', 'presiden', 'wakil', 'presiden', 'ri', 'uas']",-13,negatif,pilih bersodakoh prabowo sandi sumbang gaji negarafakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden ri uas
29,positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,24,"['alhamdulilah', 'capres', 'sedekah', 'gaji', 'rakyat', 'miskin', 'korban', 'gempa', 'pasigala', 'butuh', 'bantu', 'prabowo', 'sandiuno', 'karnilyas', 'rockygerung']",-19,negatif,alhamdulilah capres sedekah gaji rakyat miskin korban gempa pasigala butuh bantu prabowo sandiuno karnilyas rockygerung
30,netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",35,"['no', 'percaya', 'saudara', 'juang', 'ikhlas', 'negeri', 'ubah', 'masyarakat', 'damai', 'tenang', 'aman', 'kesejahteran', 'tingkat', 'harga', 'rendah', 'stabil']",16,positif,no percaya saudara juang ikhlas negeri ubah masyarakat damai tenang aman kesejahteran tingkat harga rendah stabil
31,negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,37,"['divhumaspolri', 'gakan', 'laden', 'polisi', 'polisi', 'gaji', 'jokowi', 'pakai', 'duit', 'jokowi', 'rakyat', 'lapor', 'nya', 'tungu', 'ganti', 'presiden']",10,positif,divhumaspolri gakan laden polisi polisi gaji jokowi pakai duit jokowi rakyat lapor nya tungu ganti presiden
32,negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",34,"['bagus', 'dukung', 'jokowi', 'tebang', 'pohon', 'golokgergaji', 'ranting', 'pohon', 'elektabilitas', 'jokowi', 'nyungseb', 'lawan', 'politik', 'dukung', 'tolol', 'pelihara', 'dasar', 'ebong', '']",-19,negatif,bagus dukung jokowi tebang pohon golokgergaji ranting pohon elektabilitas jokowi nyungseb lawan politik dukung tolol pelihara dasar ebong 
33,positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",26,"['harga', 'cabai', 'rp', 'harga', 'bawang', 'rp', 'petan', 'kasihan', 'jokowi']",10,positif,harga cabai rp harga bawang rp petan kasihan jokowi
34,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,13,"['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerjasama', 'ekonomi', '', 'via', 'apahabar', 'com']",19,positif,presiden jokowi raja salman sepakat tingkat kerjasama ekonomi  via apahabar com
35,negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,13,"['selesai', 'hidup', 'bisa', 'harga', 'mahal', 'turun', 'solusi', 'kubu', 'prabowo', 'bahlul']",-7,negatif,selesai hidup bisa harga mahal turun solusi kubu prabowo bahlul
36,positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,30,"['terima', 'gaji', 'bagai', 'presiden', 'wapres', 'sumbang', 'negara', 'fakir', 'miskin', 'sejarah', 'bangsa', 'indonesia', 'debat', 'pilpres', 'pernyatan', 'tutup', 'prabowosandiaga', 'uno', 'youtube']",-19,negatif,terima gaji bagai presiden wapres sumbang negara fakir miskin sejarah bangsa indonesia debat pilpres pernyatan tutup prabowosandiaga uno youtube
37,positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",32,"['infrastructure', 'bangun', 'pakai', 'uang', 'pribadi', 'dukung', 'pakai', 'pajak', 'warga', 'negara', 'bayar']",-3,negatif,infrastructure bangun pakai uang pribadi dukung pakai pajak warga negara bayar
38,positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",21,"['penghargan', 'anugerah', 'bukti', 'jokowi', 'sosok', 'pimpin', 'aku', 'integritas', '']",-5,negatif,penghargan anugerah bukti jokowi sosok pimpin aku integritas 
39,positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",26,"['satu', 'jokowikma', 'capai', 'hasil', 'capai', 'tumbuh', 'ekonomi', 'era', 'perintah', 'jokowi', 'jika', 'tingkat', '']",-3,negatif,satu jokowikma capai hasil capai tumbuh ekonomi era perintah jokowi jika tingkat 
40,netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,16,"['orang', 'negeri', 'harga', 'prestasi', 'jokowi', 'negara', 'caci']",-4,negatif,orang negeri harga prestasi jokowi negara caci
41,netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",28,"['butuh', 'peluk', 'rakyat', 'butuh', 'harga', 'sembilan bahan pokok', 'murah', 'listrik', 'tarif', 'turun', 'butuh', 'lap', 'kerja', 'janji']",-42,negatif,butuh peluk rakyat butuh harga sembilan bahan pokok murah listrik tarif turun butuh lap kerja janji
42,netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",36,"['winter', 'is', 'coming', 'pidato', 'jokowi', 'imf', 'bank', 'dunia', 'ekonomi', 'dunia', 'game', 'of', 'thrones', 'game', 'of', 'throne', 'presiden', 'jokowi', 'kuat', 'kalah', 'evil', 'winter', '', '']",-7,negatif,winter is coming pidato jokowi imf bank dunia ekonomi dunia game of thrones game of throne presiden jokowi kuat kalah evil winter  
43,positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",30,"['vidiamanda', 'april', 'pilih', 'jokowikma', 'tumbuh', 'ekonomi', 'merat', 'zaman', 'jokowi', 'tumbuh', 'ekonomi', 'merat', 'bangun']",-4,negatif,vidiamanda april pilih jokowikma tumbuh ekonomi merat zaman jokowi tumbuh ekonomi merat bangun
44,netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,14,"['jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', '']",14,positif,jokowi raja salman sepakat tingkat kerja ekonomi 
45,negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,35,"['surga', 'tidak', 'bahagia', 'bahagia', 'tidak', 'sempurna', 'tanpa', 'gandeng', 'tangan', 'prabowo', 'ustad', 'masuk', 'surga', 'ckckckck', 'salah', 'pilih', 'guru', 'aji']",-21,negatif,surga tidak bahagia bahagia tidak sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah pilih guru aji
46,negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",22,"['angota', 'kpuid', 'tidak', 'layak', 'gaji', 'malu', 'utama', 'isi', 'perut', 'gede', 'banyak bicara', 'minim', 'toreh', 'prestasi', 'c', 'jokowi']",-32,negatif,angota kpuid tidak layak gaji malu utama isi perut gede banyak bicara minim toreh prestasi c jokowi
47,netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",27,"['pikir', 'matang', 'program', 'kis', 'mari', 'harga', 'hujat']",-5,negatif,pikir matang program kis mari harga hujat
48,netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,11,"['mongo', 'sila', 'hak', 'harga', 'ubah']",-1,negatif,mongo sila hak harga ubah
49,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",22,"['penghargan', 'anugerah', 'bukti', 'jokowi', 'sosok', 'pimpin', 'aku', 'integritas', '']",-5,negatif,penghargan anugerah bukti jokowi sosok pimpin aku integritas 
50,negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",32,"['he', 'he', 'he', 'sok', 'bijak', 'antek', 'orba', 'pikir', 'letjen', 'pecat', 'bilang', 'biang', 'kerok', 'ekonomi', 'indonesia', 'presiden', 'jokowi', 'jenderal', 'surabaya', 'demokrat', 'tidak', 'alih', 'dukung', 'jokowi', 'coba']",-24,negatif,he he he sok bijak antek orba pikir letjen pecat bilang biang kerok ekonomi indonesia presiden jokowi jenderal surabaya demokrat tidak alih dukung jokowi coba
51,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,14,"['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', '', 'via', 'metrobali']",17,positif,presiden jokowi raja salman sepakat tingkat kerja ekonomi  via metrobali
