,sentimen,tweet
16,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq
17,positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS"
18,netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­"
19,positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW
20,netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦
21,negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦"
22,negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In
23,positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi
24,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦
25,negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***"
26,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦"
27,negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno"
28,positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS"
29,positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur
30,netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS"
31,negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut
32,negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦"
33,positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ "
34,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com
35,negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull
36,positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube
37,positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar."
38,positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
39,positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
40,netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci
41,netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal"
42,netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi"
43,positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l"
44,netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw
45,negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian
46,negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi"
47,netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat ."
48,netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...
49,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
50,negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?"
51,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali
52,netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih"
53,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen
54,positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih"
55,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ "
56,negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ 
57,positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
58,negatif,"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik."
59,positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih"
60,positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦
61,negatif,Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦
62,negatif,"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!"
63,netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ "
64,positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦"
65,negatif,"Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang."
66,negatif,Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau
67,positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih"
68,netral,Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn
69,positif,"Jokowi menjelaskan, pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan. Dengan demikian, kekuatan ekonomi Indonesia bisa lebih stabil #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105659138061688838/photo/1 pic.twitter.com/XYt9VIWpRJÂ "
70,netral,"gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih"
71,positif,"#PilihOrangBaik#PilihJelasIslamnya #PilihBajuPutih  Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦"
72,positif,"Bersatu Menangkan @Jokowi #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi, dr pelayanan berbasis elektronik, sistem pengaduan masyarakat, penghargaan bg masyarakat yg mengungkap korupsi."
73,negatif,Leres pakdhe :)  Salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum. Jadi pripun kabare ðŸ‘‰ #duatahunnovel pakde @jokowi ðŸ˜Šâ˜º
74,negatif,demikian pak @prabowo walau pendidikannya tentara .. tapi ayahnya seorang ekonom legendaris di Indonesia ..   ya kali deh gak ngerti makro dan mikro ..   makro dan mikro pelajaran semester 1-2 di fakultas ekonomi .. CMIIW   ketauan .. jae baru belajar ekonomi .. kacaw..
75,netral,Jangan terlalu bangga dengan jalan. Jika ekonomi jatuh terus. Nengara menag buka melihat jalanya yg megah. Seharusnya hasil bumi laut yg melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang.
76,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.    http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦"
77,netral,Katanya Jas itu harga mahal dan pakaian orang2 eropa dan amerika.
78,netral,Prabowo Janjikan Harga Karet dan Kelapa Sawit Bikin Senyum Petani  https://nasional.sindonews.com/read/1394419/12/prabowo-janjikan-harga-karet-dan-kelapa-sawit-bikin-senyum-petani-1554858831?utm_source=dlvr.it&utm_medium=referralÂ â€¦
79,netral,Orang ini sangat dihargai oleh Raja Arab Saudi. Dia Pemimpin ku
80,negatif,"mencontoh ekonomi china, bukannya sujud seperti sekarang iniðŸ¤£"
81,positif,"Fyi gaes...Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih"
82,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦
83,negatif,"Berapa sih gaji presiden dan wakil presiden? Berapa sih tunjangannya? Kalau kalian mengatakan tdk akan ambil sepeserpun gaji dan tunjangan baru hebat. Itu baru jualan, klu hanya gaji itu namanya jualan basi."
84,positif,Mungkin pak @prabowo mengharap ketulusan karyawan untuk tidak menuntut gajiðŸ˜…
85,netral,"Jamu Jokowi, Raja Salman Sajikan Nasi Mandhi - Warta Ekonomi  https://www.wartaekonomi.co.id/read223718/jamu-jokowi-raja-salman-sajikan-nasi-mandhi.htmlÂ â€¦"
86,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.ly/2UB5N4gÂ "
87,negatif,"Kami moslem, kami menghormati dan menghargai umat agama Laen. Kami cinta damai karena Islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali. Dan kamipun pendukung 02. Bhineka tunggal Ika  #UASdifitnahKejiDanBrutal"
88,positif,@prabowo & @sandiuno  Tidak akan ambil gaji serupiah pun jika terpilih sbg Presiden RI  Benar kata alm. Gus Dur : orang yg paling ihlas utk Indonesia adalah prabowo ..!  #PrabowoSandiOKBanget #PrabowoSandiTakTerbendung #Tutup01Tusuk02 pic.twitter.com/VMyb
89,netral,"Jokowi-Ma'ruf Bicara Pengalaman, Prabowo-Sandi Janji Tak Ambil Gaji  https://today.line.me/id/pc/article/Jokowi+Ma+ruf+Bicara+Pengalaman+Prabowo+Sandi+Janji+Tak+Ambil+Gaji-GyOxl8?utm_source=facebook&utm_medium=linetodayhome&utm_campaign=snsoperationÂ â€¦"
90,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ "
91,negatif,"Gak perlu suudzon, di samping umroh pak jokowi juga membahas kerja sama di bidang ekonomi dengan pemerintahan Arab Saudi. Gak usah nyinyir bro, urus tuh junjunganmu yg lagi ziarah kubur moga2 aja gak nyembah kuburan."
92,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif.  https://bit.ly/2UAuzkRÂ 
93,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦"
94,positif,"Jokowi-Ma'ruf Pemimpin Indonesia.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
95,negatif,"Mahal banget,  buat satu beginian untuk hasilkan 1 MW harganya bisa lebih mahal dari satu power plant yang bisa produksi 10 MW"
96,netral,Jokowi bahas ekonomi makro dan mikro .. ya makanan sehari2 Sandiaga dari dulu itu sih .. fatal .. untuk ada ET .. keluarlah I-Spot .. sejenis revolusi 4.0 ..   Sok futuristik padahal otaknya antik
97,negatif,Prabowo-Sandi Sepakat Ekonomi Indonesia Salah Arah  http://dlvr.it/R2pfn7Â  pic.twitter.com/UYuIsDr3ur
98,negatif,Prabowo-Sandi Sepakat Ekonomi Indonesia Salah Arah  http://dlvr.it/R2pfmNÂ  Via : @KedaiPenaCom pic.twitter.com/FQQVzcojs4
99,netral,"Fyi gaes...Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih"
100,negatif,Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi
101,negatif,kalau emang prabowo mau seenggaknya prepare untuk persona agamis kaya belajar ngaji gtgt yakin 1000% bakal menang. tapi ya counter jokowi juga dengan rekrut MA ini bikin malah ga ketebak alurnya wkwkwk asli dah padahal prabowo cuma perlu jadi islami doang aslinya biar menang
102,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .
103,netral,"Buka PorProv Jateng, Ganjar Ingin Kepala Daerah Contoh Jokowi Hargai Atlet  #2019JokowiKyaiMaruf #RakyatApresiasiKinerjaJokowi  https://twitter.com/tag_nusantara/status/1060707183812169729/video/1Â â€¦"
104,netral,Awal mula Mudzakir menjadi guru ngaji Jokowi pada 2001. Ketika itu banyak anak-anak dan orang dewasa meminta diajari membaca Al Quran secara privat.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih
105,netral,"@KHMarufAmin_ Untuk Indonesia Maju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.ly/2UB5"
106,positif,"Jokowi mendukung Esport di indonesia Mobile Legend, PUBG, Free Fire DLL  prabowo lebih memperdulikan sandang pangan harga harga turun.  Gua udah punya pilihan skarang."
107,netral,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ "
